"IDENTIFIER","GSM526561","GSM526562","GSM526602","GSM526603","GSM526605","GSM526678"
"Rpl31",9.67269,9.59662,9.73366,9.73921,9.69929,9.82507
"Cnot11",7.15503,7.34454,7.21119,7.05258,7.28127,7.22497
"Map4k4",6.8053,6.41389,6.71669,6.74372,6.50252,6.6193
"Il1r2",4.56392,4.58301,4.49922,4.77256,4.70072,4.5823
"Il1r1",8.46357,8.91113,8.39649,9.30645,8.84544,9.35793
"Il1rl2",3.34514,3.51595,3.57152,3.51579,3.25495,3.38674
"Il1rl1",3.91507,3.85126,3.98958,3.86617,3.82843,3.72478
"Il18r1",3.97726,4.22531,4.25447,3.94213,4.03709,3.9024
"Il18rap",4.53226,4.5404,4.64745,4.65514,4.59488,4.61624
"Slc9a4",4.54244,4.84016,4.45629,4.75066,4.69539,4.65427
"Slc9a2",4.61329,4.63887,4.95084,4.72913,4.73439,4.623
"Tmem182",5.58105,5.77741,5.57954,5.56625,5.64185,5.52101
"Pou3f3",6.15943,6.04199,6.25463,6.25216,6.42188,5.96763
"Mrps9",7.31597,7.23167,7.36611,7.35643,7.34712,7.24902
"Gpr45",5.13308,4.96456,4.95519,5.20816,5.02369,4.9366
"AI597479",6.33077,6.41896,6.38277,6.53576,6.44247,6.35371
"Gm8580",9.13734,9.3431,9.38318,9.36205,9.41486,9.48231
"Nck2",5.70739,5.35795,5.38794,5.46946,5.50823,5.38523
"Arf1",7.02793,7.12271,6.95911,7.23874,6.96013,7.07606
"Tpp2",7.83253,7.93566,7.76459,7.8659,7.8385,8.01342
"Bivm",5.76138,6.03078,6.0484,6.11874,5.76154,5.91525
"Ercc5",7.6286,7.49363,7.45492,7.43192,7.34916,7.45551
"Gulp1",2.57627,2.48668,2.55022,2.59316,2.55494,2.29439
"Col3a1",6.27876,6.43615,6.34661,6.45854,6.36579,6.27752
"Wdr75",6.84315,6.92343,6.85022,6.67769,6.84936,7.01471
"Rpl23a",10.4567,10.4988,10.6387,10.6304,10.5787,10.6799
"Dnah7b",4.98317,4.57003,4.99688,4.54035,4.66292,4.77641
"Tmeff2",3.87737,3.73847,4.01486,4.00768,4.05102,3.98294
"Sdpr",5.96134,6.09092,6.05105,6.19937,6.04475,6.45624
"Stat4",3.15319,3.3756,3.22644,3.47515,3.00194,3.17006
"Stat1",7.55217,7.50274,7.67395,8.03132,7.8736,7.88414
"X16670",5.99943,5.60577,5.7284,5.22856,5.19265,6.05282
"Tmem194b",4.22533,4.09539,4.0367,4.19012,4.12181,4.25078
"Hibch",8.70453,9.19098,8.88675,8.88651,8.66395,9.08826
"Mstn",3.33439,3.41063,3.30966,3.30574,3.2979,3.30574
"Ormdl1",6.65017,6.37091,6.54347,6.14016,6.42411,6.53764
"Osgepl1",6.2805,6.4907,6.3573,6.03312,6.3099,6.63779
"Ccdc150",3.20603,3.02913,3.04418,3.03897,3.3947,2.96597
"Coq10b",7.78727,7.74645,7.77514,7.81176,7.80758,8.032
"Hspe1",11.3698,11.3471,11.212,11.2932,11.2603,11.2207
"Mob4",7.52222,7.71837,7.52053,7.53257,7.49347,7.66783
"Mars2",5.86655,5.90105,6.01818,5.88095,5.93478,6.03541
"Rps24",6.94383,6.89451,7.04492,6.9724,6.83881,7.07177
"Plcl1",5.37878,5.04496,4.86269,5.35075,4.99037,4.90844
"Spats2l",5.81539,5.82506,5.68437,5.7044,5.90328,5.81349
"Sgol2",4.12893,4.10551,4.00516,4.26226,4.3647,4.14651
"Aox1",9.32865,8.99635,9.1906,9.08702,9.18251,9.14193
"Aox3",10.0933,9.48329,9.70502,9.78609,9.84244,9.7636
"Aox4",5.05852,5.08796,5.15872,5.13924,5.14787,5.11545
"Aox2",4.56149,4.57963,4.4944,4.67932,4.52467,4.46852
"Bzw1",9.84444,9.9332,9.84348,9.81567,9.76023,9.89247
"Ppil3",7.21212,7.49222,7.31433,7.3125,7.25909,7.29433
"Ndufb3",6.6945,6.80097,6.84347,6.57816,6.98455,6.79391
"Cbx3",8.33885,8.25087,8.06909,7.90253,8.18234,8.12608
"Cflar",7.45854,7.13752,7.12151,7.1886,7.0841,7.70805
"Cflar",8.23519,8.02928,7.77275,8.09827,8.04402,8.55076
"Casp8",7.57282,7.80742,7.73579,7.93638,8.0409,8.09874
"Stradb",7.95764,8.05243,7.956,8.06715,7.99255,8.20122
"Tmem237",6.89917,6.47905,6.9568,6.87526,6.80078,6.66569
"Cdk15",4.13356,4.24118,4.32567,4.25187,4.27577,3.98385
